State,Regulator,Parameter,Value,Unit,Applicability,Consumer Category,Voltage Level,DISCOM,Procurement Type,Technology,Effective From,Effective To,Document,Regulation,Clause,Page,Source URL,Status,Notes,Parameter ID
Rajasthan,RERC,Banking Charge,8,% of banked energy,RE captive power plant up to 100% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(A)(v),46,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Banking charge is payable in kind and adjusted against banked energy before withdrawal.,banking_charge
Rajasthan,RERC,Unused Banking Treatment,Lapse,End of financial year,RE captive power plant up to 100% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(A)(iv),46,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Unutilized banked energy at the end of the financial year lapses. REC entitlement is provided to the extent of lapsed banked energy.,unused_banking_treatment
Rajasthan,RERC,Banking Eligibility,Yes,Boolean,RE captive power plant from 100% to 200% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(B)(iii),47,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Banking allowed only for captive consumption within Rajasthan.,banking_eligibility
Rajasthan,RERC,Banking Ceiling Based on Monthly Consumption,30,% of monthly consumption,RE captive power plant from 100% to 200% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(B)(iii),47,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Maximum banking ceiling is 30% of total monthly consumption from the Distribution Licensee.,banking_ceiling_monthly_consumption
Rajasthan,RERC,Banking Settlement Basis,Billing Cycle,Settlement period,RE captive power plant from 100% to 200% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(B),47,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Banking is allowed on billing cycle basis and banked energy cannot be carried forward to the subsequent billing cycle.,banking_settlement_basis
Rajasthan,RERC,Banking Charge,8,% of banked energy,RE captive power plant from 100% to 200% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(B)(v),48,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Banking charge is payable in kind and adjusted against banked energy before withdrawal.,banking_charge
Rajasthan,RERC,Unused Banking Treatment,Lapse,End of billing cycle,RE captive power plant from 100% to 200% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(B)(iv),47,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,"Unutilized banked energy at the end of the billing cycle lapses, with REC entitlement to the extent of lapsed banked energy.",unused_banking_treatment
Rajasthan,RERC,Transmission Charge Determination,As per prevailing RERC Tariff Order,As specified in tariff order,GEOA consumer using intra-state transmission system,All eligible GEOA consumers,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.1.2,41,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Actual rate is to be taken from the prevailing RERC Tariff Order.,transmission_charge
Rajasthan,RERC,Wheeling Charge Determination,As per prevailing RERC Tariff Order,As specified in tariff order,GEOA consumer using distribution licensee system,All eligible GEOA consumers,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.2,41,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Actual rate is to be taken from the prevailing RERC Tariff Order.,wheeling_charge
Rajasthan,RERC,Cross Subsidy Surcharge Maximum,20,% of Average Cost of Supply,GEOA consumer,Eligible GEOA consumers,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.4(b),43,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,CSS shall not exceed 20% of Average Cost of Supply.,css_maximum
Rajasthan,RERC,Cross Subsidy Surcharge — Captive Exemption,Not Applicable,Exemption,Captive generation plant carrying electricity to destination of own use,Captive,,,Captive,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.4(a) proviso,43,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,CSS is not levied for the specified captive own-use arrangement.,css_captive_exemption
Rajasthan,RERC,Additional Surcharge — Captive Exemption,Not Applicable,Exemption,Captive generation plant carrying electricity to destination of own use,Captive,,,Captive,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.5 proviso,44,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Additional surcharge is not levied for the specified captive own-use arrangement.,additional_surcharge_captive_exemption
Rajasthan,RERC,Standby Charge,25,% of applicable consumer tariff energy charge,Standby arrangement when GEOA consumer cannot procure/schedule contracted power due to outage etc.,GEOA consumer,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.7,44,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Standby charge is in addition to the applicable tariff on standby energy.,standby_charge
Rajasthan,RERC,Transmission and Wheeling Losses,As determined by RERC from time to time,As specified by Commission,GEOA consumers,All eligible GEOA consumers,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 15,49,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Current loss percentages must be sourced from the applicable Commission order.,transmission_wheeling_losses
Rajasthan,RERC,SLDC Fee and Charges,As per relevant Regulation / Order,As specified by Commission,Green Energy Open Access,All eligible GEOA consumers,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11(viii),41,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Actual SLDC fee and charges are to be sourced from the applicable Commission regulation/order.,sldc_charge
Rajasthan,RERC,Scheduling Charges,As per relevant Regulation / Order,As specified by Commission,Green Energy Open Access,All eligible GEOA consumers,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11(viii),41,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Actual scheduling charge is to be sourced from the applicable Commission regulation/order.,scheduling_charge
Rajasthan,RERC,DSM / Deviation Charges,As per relevant DSM / Deviation Regulations,As specified by applicable regulation,Green Energy Open Access,Applicable GEOA generators / consumers,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 10(ii) and 11(viii),41,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,"Deviation charges are governed by the applicable RERC forecasting, scheduling and deviation settlement regulations/orders.",dsm_deviation_charge
Rajasthan,RERC,Long-term GEOA Application Fee,100000,₹ per application,Long-term Green Energy Open Access,Long-term GEOA entity,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 16(1)(c),49,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Non-refundable application fee.,long_term_application_fee
Rajasthan,RERC,Medium-term GEOA Application Fee,20000,₹ per application,Medium-term Green Energy Open Access,Medium-term GEOA entity,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 16(1)(c),49,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Non-refundable application fee.,medium_term_application_fee
Rajasthan,RERC,Short-term GEOA Application Fee,5000,₹ per application,Short-term Green Energy Open Access,Short-term GEOA entity,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 16(2)(c),50,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Non-refundable application fee.,short_term_application_fee
Rajasthan,RERC,Long-term GEOA Bank Guarantee,10000,₹ per MW,Long-term Green Energy Open Access,Long-term GEOA entity,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 16(1)(d),49,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Bank guarantee based on total power to be transmitted; valid until commencement of long-term open access.,long_term_bank_guarantee
Rajasthan,RERC,Transmission Charge Payment Security,3,months of applicable charges,Long-term and Medium-term GEOA,Long-term / Medium-term GEOA entity,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 16(1)(e),49,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Deposit with State Transmission Utility against allotted open access capacity.,transmission_payment_security
Rajasthan,RERC,SLDC Charge Payment Security,3,months of applicable charges,Long-term and Medium-term GEOA,Long-term / Medium-term GEOA entity,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 16(1)(f),49,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,"Includes SLDC fee, scheduling and operating charges.",sldc_payment_security
Rajasthan,RERC,Wheeling / CSS / Additional Surcharge Payment Security,3,months of applicable billing,Long-term and Medium-term GEOA,Long-term / Medium-term GEOA entity,,,Green Energy Open Access,,2025-07-17,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 16(1)(g),50,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Security maintained with the Distribution Licensee.,wheeling_css_as_payment_security
